SecureTV OMS (Version 3.5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,channel_number,channel_name,rating,ecm_id,service_id,tsid,nit,access_criteria,ala_carte,is_active,output_url,output_port,input_url,input_port,format,category,call_letters,logo_clipart,channel_text,ala_carte_price,broadcaster_id,created_at,updated_at,epg_id,deleted_at,module_id,output_video_url,profile_file,language
21,18,Sony ESPN HD,G,0,,,1,,,1,192.168.150.225,6301,231.40.41.35,1111,HD,Sports,18,http://auth.jprdigitalott.com/logos/SonyESPNHD.jpg,Sony ESPN HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Sony Espn,,S1,http://jprdigitalott.com/media/SonyESPNHD.mpd,HD3-1.5m-500k-200k,
22,19,Zee Cafe HD,G,0,,,1,,,1,192.168.150.225,7101,231.51.35.9,1111,HD,English Entertainment,19,http://auth.jprdigitalott.com/logos/ZeeCafeHD.jpg,NGC Wild HD,0,,1/15/2020 1:19,2/6/2020 12:14,HD ZeeCafe,,N1,http://jprdigitalott.com/media/NGCWildHD.mpd,HD3-1.5m-500k-200k,
23,20,& Prive HD,G,0,,,1,,,1,192.168.150.225,13101,231.40.41.94,1111,HD,English Movies,20,http://auth.jprdigitalott.com/logos/andPriveHD.png,& Prive HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD & Prive,,M3,http://jprdigitalott.com/media/StarJalshaHD.mpd,HD3-1.5m-500k-200k,
24,21,History 18 HD,G,0,,,1,,,1,192.168.150.225,7301,231.51.21.1,1111,HD,Infotainment,21,http://auth.jprdigitalott.com/logos/History18HD.jpg,History 18 HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD History18,,N1,http://jprdigitalott.com/media/History18HD.mpd,HD3-1.5m-500k-200k,
25,22,Colors Marathi HD,G,0,,,1,,,1,192.168.150.225,8101,231.40.41.37,1111,HD,Marathi,22,http://auth.jprdigitalott.com/logos/ColorsMarathiHD.jpg,Colors Marathi HD,0,,1/15/2020 1:19,2/6/2020 12:13,Colors Marathi HD,,N1,http://jprdigitalott.com/media/ColorsMarathiHD.mpd,HD3-1.5m-500k-200k,
26,23,Ten 1 HD,G,0,,,1,,,1,192.168.150.225,8201,231.51.26.1,1111,HD,Sports,23,http://auth.jprdigitalott.com/logos/Ten1HD.jpg,Ten 1 HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Ten 1,,S1,http://jprdigitalott.com/media/Ten1HD.mpd,HD3-1.5m-500k-200k,
27,24,Fox Life HD,G,0,,,1,,,1,192.168.150.225,8301,231.51.24.7,1111,HD,Infotainment,24,http://auth.jprdigitalott.com/logos/FoxLifeHD.jpg,Fox Life HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Foxlife,,N1,http://jprdigitalott.com/media/FoxLifeHD.mpd,HD3-1.5m-500k-200k,
28,25,MOVIES NOW HD,G,0,,,1,,,1,192.168.150.225,9101,231.51.42.5,1111,HD,English Movies,25,http://auth.jprdigitalott.com/logos/MoviesNowHD.jpg,MOVIES NOW HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Movies Now,,M3,http://jprdigitalott.com/media/MOVIESNOWHD.mpd,HD3-1.5m-500k-200k,
29,26,Colors HD,G,0,,,1,,,1,192.168.150.225,9201,231.51.21.8,1111,HD,Hindi Entertainment,26,http://auth.jprdigitalott.com/logos/ColorsHD.jpg,Colors HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Colors,,N1,http://jprdigitalott.com/media/ColorsHD.mpd,HD3-1.5m-500k-200k,
30,27,CNBC Prime HD,G,0,,,1,,,1,192.168.150.225,9301,231.51.21.6,1111,HD,English News,27,http://auth.jprdigitalott.com/logos/CNBCPrimeHD.jpg,CNBC Prime HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD CNBC Prime,,N1,http://jprdigitalott.com/media/CNBCPrimeHD.mpd,HD3-1.5m-500k-200k,
31,28,MTV Beats HD,G,0,,,1,,,1,192.168.150.225,10101,231.51.38.3,1111,HD,Music,28,http://jprdigitalott.com/media/MTVBeatsHD.mpd,MTV Beats HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD MTV Beats,,S1,http://auth.jprdigitalott.com/logos/MTVBeatsHD.jpg,HD3-1.5m-500k-200k,
32,29,Sony HD,G,0,,,1,,,1,192.168.150.225,10201,231.51.17.8,1111,HD,Hindi Entertainment,29,http://auth.jprdigitalott.com/logos/SonyHD.jpg,Sony HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Sony,,N1,http://jprdigitalott.com/media/SonyHD.mpd,HD3-1.5m-500k-200k,
33,30,RT Documentry,G,0,,,1,,,1,192.168.150.225,10301,231.50.10.8,1111,HD,Infotainment,30,http://auth.jprdigitalott.com/logos/RTDocumentary.png,RT Documentry,0,,1/15/2020 1:19,2/6/2020 12:13,HD RT Documentry,,M1,http://jprdigitalott.com/media/StarWorldHD.mpd,HD3-1.5m-500k-200k,
34,31,MN + HD,G,0,,,1,,,1,192.168.150.225,11101,231.51.26.7,1111,HD,English Movies,31,http://auth.jprdigitalott.com/logos/M+HD.jpg,MN + HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD MN +,,N1,http://jprdigitalott.com/media/M+HD.mpd,HD3-1.5m-500k-200k,
35,32,Living Foodz HD,G,0,,,1,,,1,192.168.150.225,11201,231.51.11.9,1111,HD,English Entertainment,32,http://auth.jprdigitalott.com/logos/LivingFoodsHD.png,Living Foodz HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Living Foodz,,N1,http://jprdigitalott.com/media/StarSports1HD.mpd,HD3-1.5m-500k-200k,
36,33,Travel XP HD,G,0,,,1,,,1,192.168.150.225,11301,231.40.41.103,1111,HD,Infotainment,33,http://auth.jprdigitalott.com/logos/TravelXPHD.jpg,Travel XP HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Travel XP,,S1,http://jprdigitalott.com/media/StarSports1HindiHD.mpd,HD3-1.5m-500k-200k,
37,34,Animal Planet HD,G,0,,,1,,,1,192.168.150.225,12101,231.40.41.12,1111,HD,Infotainment,34,http://auth.jprdigitalott.com/logos/AnimalPlanetHD.png,Animal Planet HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Animal Planet,,N1,http://jprdigitalott.com/media/StarWorldPremiereHD.mpd,HD3-1.5m-500k-200k,
38,35,TLC HD,G,0,,,1,,,1,192.168.150.225,12201,231.40.41.11,1111,HD,Infotainment,35,http://auth.jprdigitalott.com/logos/TLCHD.png,TLC HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD TLC,,M1,http://jprdigitalott.com/media/StarPlusHD.mpd,HD3-1.5m-500k-200k,
39,36,Colors Infinity HD,G,0,,,1,,,1,192.168.150.225,12301,231.51.32.13,1111,HD,English Entertainment,36,http://auth.jprdigitalott.com/logos/ColorsInfinityHD.jpg,Colors Infinity HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD ColorsInfinity,,N1,http://jprdigitalott.com/media/ColorsInfinityHD.mpd,HD3-1.5m-500k-200k,
40,37,& Prive HD,G,0,,,1,,,1,192.168.150.225,13101,231.40.41.94,1111,HD,English Movies,37,http://auth.jprdigitalott.com/logos/andPriveHD.png,& Prive HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD & Prive,,N1,http://jprdigitalott.com/media/StarJalshaHD.mpd,HD3-1.5m-500k-200k,
41,38,FYI TV 18 HD,G,0,,,1,,,1,192.168.150.225,13201,231.40.41.79,111,HD,Infotainment,38,http://auth.jprdigitalott.com/logos/FYITV18HD.jpg,FYI TV 18 HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD FYI TV 18,,S1,http://jprdigitalott.com/media/FYITV18HD.mpd,HD3-1.5m-500k-200k,
42,39,Zee Marathi HD,G,0,,,1,,,1,192.168.150.225,13301,231.40.41.97,1111,HD,Marathi,39,http://auth.jprdigitalott.com/logos/ZeeMarathiHD.jpg,Zee Marathi HD,0,,1/15/2020 1:19,2/6/2020 12:13,Zee Marathi HD,,N1,http://jprdigitalott.com/media/StarGoldSelectHD.mpd,HD3-1.5m-500k-200k,
43,40,NHK HD,G,0,,,1,,,1,192.168.150.225,14101,231.50.50.1,1111,HD,News,40,http://auth.jprdigitalott.com/logos/NHKHD.jpg,NHK HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD NHK,,M1,http://jprdigitalott.com/media/StarMoviesHD.mpd,HD3-1.5m-500k-200k,
44,42,Sony PIX HD,G,0,,,1,,,1,192.168.150.225,14301,231.51.19.8,1111,HD,English Movies,42,http://auth.jprdigitalott.com/logos/SonyPIXHD.jpg,Sony PIX HD,0,,1/15/2020 1:19,2/6/2020 12:13,HDSony Pix,,N1,http://jprdigitalott.com/media/SonyPixHD.mpd,HD3-1.5m-500k-200k,
45,43,HBO HD,G,0,,,1,,,1,192.168.150.225,15101,231.51.19.5,1111,HD,English Movies,43,http://auth.jprdigitalott.com/logos/HBOHD.jpg,HBO HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD HBO,,N1,http://jprdigitalott.com/media/HBOHD.mpd,HD3-1.5m-500k-200k,
46,41,Aaj Tak HD,G,0,,,1,,,1,192.168.150.225,14201,231.40.41.59,1111,HD,News,41,http://auth.jprdigitalott.com/logos/AajTakHD.jpg,Aaj Tak HD,0,,1/15/2020 1:19,2/6/2020 12:13,Aaj Tak HD,,S1,http://jprdigitalott.com/media/AajTakHD.mpd,HD3-1.5m-500k-200k,
47,44,Sony PIX HD,,0,,,1,,,0,,,,,HD,,44,,Sony PIX HD,0,,1/15/2020 1:19,1/15/2020 1:19,0,,N1,,,
48,45,MTV HD,G,0,,,1,,,1,192.168.150.225,15301,231.40.41.72,1111,HD,Music,45,http://auth.jprdigitalott.com/logos/MTVHD.jpg,MTV HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD MTV,,M1,http://jprdigitalott.com/media/MTVHD.mpd,HD3-1.5m-500k-200k,
49,46,Colour Cineplex HD,G,0,,,1,,,1,192.168.150.225,16101,231.40.41.78,1111,HD,Hindi Movies,46,http://auth.jprdigitalott.com/logos/ColorsCineplex.jpg,Colour Cineplex HD,0,,1/15/2020 1:19,2/6/2020 12:13,D Rishtey Cineplex,,N1,http://jprdigitalott.com/media/StarVijayHD.mpd,HD3-1.5m-500k-200k,
50,47,Zee Cinema HD,G,0,,,1,,,1,192.168.150.225,16201,231.51.17.1,1111,HD,Hindi Movies,47,http://auth.jprdigitalott.com/logos/ZeeCinemaHD.jpg,Zee Cinema HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Zee Cinema,,N1,http://jprdigitalott.com/media/ManoramaHD.mpd,HD3-1.5m-500k-200k,
51,48,Comedy Central HD,G,0,,,1,,,1,192.168.150.225,17101,231.51.13.6,1111,HD,English Entertainment,48,http://auth.jprdigitalott.com/logos/ComedyCentralHD.jpg,Comedy Central HD,0,,1/15/2020 1:19,2/6/2020 12:13,Comedy Central,,S1,http://jprdigitalott.com/media/ComedyCentralHD.mpd,HD3-1.5m-500k-200k,
52,49,Colors Kannada HD,G,0,,,1,,,1,192.168.150.225,17201,231.40.41.38,1111,HD,Kannada,49,http://auth.jprdigitalott.com/logos/ColorsKannadaHD.jpg,Colors Kannada HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Colors Kannada,,N1,http://jprdigitalott.com/media/ColorsKannadaHD.mpd,HD3-1.5m-500k-200k,
53,51,Food Food,G,0,,,1,,,1,192.168.150.225,18101,235.51.5.6,1111,SD,Infotainment,51,http://auth.jprdigitalott.com/logos/FoodFood.jpg,Food Food,0,,1/15/2020 1:34,2/6/2020 12:13,Food Food,,M5,http://jprdigitalott.com/media/9XJhakkas.mpd,SD1-1.8m-150k-200k,
54,52,France 24,G,0,,,1,,,1,192.168.150.225,18201,235.5.5.62,1111,SD,News,52,http://auth.jprdigitalott.com/logos/France24.png,France 24,0,,1/15/2020 1:34,2/6/2020 12:13,France24,,N1,http://jprdigitalott.com/media/Zoom.mpd,SD1-1.8m-150k-200k,
55,53,Aastha TV,G,0,,,1,,,1,192.168.150.225,18301,235.5.5.46,1111,SD,Religious,53,http://auth.jprdigitalott.com/logos/AasthaTV.jpg,Aastha TV,0,,1/15/2020 1:34,2/6/2020 12:13,Aastha TV,,N1,http://jprdigitalott.com/media/AasthaTV.mpd,SD1-1.8m-150k-200k,
56,55,ABP News,G,0,,,1,,,1,192.168.150.225,18501,231.51.2.15,1111,SD,News,55,http://auth.jprdigitalott.com/logos/ABPNews.jpg,ABP News,0,,1/15/2020 1:34,2/6/2020 12:13,ABPNews,,S1,http://jprdigitalott.com/media/ABPNews.mpd,SD1-1.8m-150k-200k,
57,54,ABP Majha,G,0,,,1,,,1,192.168.150.225,18401,231.51.1.4,1111,SD,News,54,http://auth.jprdigitalott.com/logos/ABPMajha.jpg,ABP Majha,0,,1/15/2020 1:34,2/6/2020 12:13,ABP Majha,,N1,http://jprdigitalott.com/media/ABPMajha.mpd,SD1-1.8m-150k-200k,
58,57,Bindaas Tv,G,0,,,1,,,1,192.168.150.225,19101,231.40.41.53,1111,SD,Hindi Entertainment,57,http://auth.jprdigitalott.com/logos/BindassTV.jpg,Bindaas Tv,0,,1/15/2020 1:34,2/6/2020 12:13,Bindass,,M5,http://jprdigitalott.com/media/BindaasTV.mpd,SD1-1.8m-150k-200k,
59,56,Al Jazeera,G,0,,,1,,,1,192.168.150.225,18601,235.5.5.31,1111,SD,News,56,http://auth.jprdigitalott.com/logos/AlJazeera.jpg,Al Jazeera,0,,1/15/2020 1:34,2/6/2020 12:13,Al Jazeera,,N1,http://jprdigitalott.com/media/AlJazeera.mpd,SD1-1.8m-150k-200k,
60,60,CNN,G,0,,,1,,,1,192.168.150.225,19401,231.51.4.1,1111,SD,English News,60,http://auth.jprdigitalott.com/logos/CNN.jpg,CNN,0,,1/15/2020 1:34,2/6/2020 12:13,CNN,,N1,http://jprdigitalott.com/media/CNN.mpd,SD1-1.8m-150k-200k,
61,59,CNBC Bazaar,G,0,,,1,,,1,192.168.150.225,19301,231.51.38.11,1111,SD,News,59,http://auth.jprdigitalott.com/logos/CNBCBazaar.jpg,CNBC Bazaar,0,,1/15/2020 1:34,2/6/2020 12:13,CNBC Bazzar,,S1,http://jprdigitalott.com/media/CNBCBazaar.mpd,SD1-1.8m-150k-200k,
